,Movie_title,First_Criterion,Second_Criterion,Third_Criterion,release_date,budget,voting,original_language
0,Fargo,1.0,0.0,0.0,1996-04-05,7000000.0,7.7,en
0,Peggy Sue Got Married,1.0,1.0,1.0,1986-10-05,18000000.0,5.9,en
0,Bad Lieutenant,1.0,0.0,0.0,1992-09-16,1000000.0,6.9,en
0,Newsies,0.0,0.0,0.0,1992-04-10,15000000.0,6.2,en
0,Braveheart,0.0,0.0,0.0,1995-05-24,72000000.0,7.7,en
0,Anna Karenina,1.0,1.0,1.0,1997-04-04,35000000.0,6.4,en
0,Scream 3,1.0,1.0,1.0,2000-02-03,40000000.0,5.7,en
0,Body Heat,1.0,1.0,0.0,1981-08-28,0.0,7.1,en
0,The World Is Not Enough,1.0,1.0,0.0,1999-11-08,135000000.0,6.0,en
0,Happy Feet,1.0,0.0,0.0,2006-11-16,100000000.0,5.9,en
0,The Croods,0.0,0.0,0.0,2013-03-20,135000000.0,6.8,en
0,Dark City,1.0,0.0,0.0,1998-02-27,27000000.0,7.2,en
0,Basic Instinct,1.0,1.0,1.0,1992-03-20,49000000.0,6.5,en
0,Body of Evidence,1.0,0.0,0.0,1993-01-15,30000000.0,4.5,en
0,White Christmas,1.0,1.0,0.0,1954-10-13,0.0,6.9,en
0,The Adjustment Bureau,1.0,1.0,0.0,2011-03-03,50200000.0,6.5,en
0,The Fabulous Baker Boys,1.0,1.0,0.0,1989-10-13,13000000.0,6.5,en
0,The Grudge,1.0,1.0,1.0,2004-10-22,10000000.0,5.8,en
0,Color of Night,1.0,0.0,0.0,1994-08-19,40000000.0,5.4,en
0,Amadeus,1.0,1.0,1.0,1984-10-26,18000000.0,7.8,en
0,Remember Me,1.0,1.0,1.0,2010-03-12,16000000.0,6.9,en
0,So I Married an Axe Murderer,1.0,1.0,1.0,1993-07-30,20000000.0,6.1,en
0,Hackers,1.0,0.0,0.0,1995-09-14,20000000.0,6.2,en
0,Meet Joe Black,1.0,1.0,1.0,1998-11-12,90000000.0,6.9,en
0,Bad Teacher,1.0,1.0,0.0,2011-05-16,20000000.0,5.4,en
0,Rush Hour 2,1.0,1.0,1.0,2001-08-03,90000000.0,6.4,en
0,The Shawshank Redemption,0.0,0.0,0.0,1994-09-23,25000000.0,8.5,en
0,King Kong,0.0,0.0,0.0,1933-04-07,672000.0,7.7,en
0,Devil in a Blue Dress,1.0,0.0,0.0,1995-09-15,27000000.0,6.3,en
0,Indiana Jones and the Temple of Doom,0.0,0.0,0.0,1984-05-23,28000000.0,7.1,en
0,Knocked Up,1.0,1.0,1.0,2007-06-01,30000000.0,6.2,en
