,character,actress/actor,gender,title_of_movie,genre1,genre2,genre3,release_date,budget,voting,original_language
0,Woody (voice),Tom Hanks,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
1,Buzz Lightyear (voice),Tim Allen,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
2,Mr. Potato Head (voice),Don Rickles,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
3,Slinky Dog (voice),Jim Varney,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
4,Rex (voice),Wallace Shawn,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
5,Hamm (voice),John Ratzenberger,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
6,Bo Peep (voice),Annie Potts,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
7,Andy (voice),John Morris,0.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
8,Sid (voice),Erik von Detten,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
9,Mrs. Davis (voice),Laurie Metcalf,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
10,Sergeant (voice),R. Lee Ermey,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
11,Hannah (voice),Sarah Freeman,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
12,TV Announcer (voice),Penn Jillette,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
13,Lt. Vincent Hanna,Al Pacino,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
14,Neil McCauley,Robert De Niro,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
15,Chris Shiherlis,Val Kilmer,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
16,Nate,Jon Voight,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
17,Michael Cheritto,Tom Sizemore,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
18,Justine Hanna,Diane Venora,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
19,Eady,Amy Brenneman,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
20,Charlene Shiherlis,Ashley Judd,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
21,Sergeant Drucker,Mykelti Williamson,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
22,Lauren Gustafson,Natalie Portman,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
23,Bosko,Ted Levine,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
24,Kelso,Tom Noonan,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
25,Richard Torena,Tone Loc,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
26,Alan Marciano,Hank Azaria,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
27,Detective Casals,Wes Studi,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
28,Donald Breedan,Dennis Haysbert,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
29,Trejo,Danny Trejo,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
30,Hugh Benny,Henry Rollins,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
31,Roger Van Zant,William Fichtner,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
32,Waingro,Kevin Gage,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
33,Elaine Cheritto,Susan Traylor,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
34,Schwartz,Jerry Trimble,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
35,Albert Torena,Ricky Harris,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
36,Dr. Bob,Jeremy Piven,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
37,Ralph,Xander Berkeley,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
38,Anna Trejo,Begonya Plaza,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
39,Armoured Guard,Rick Avery,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
40,Hooker's Mother,Hazelle Goodman,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
41,Timmons,Ray Buktenica,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
42,Shooter at Drive-in,Max Daniels,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
43,Driver at Drive-in,Vince Deadrick Jr.,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
44,Officer Bruce,Steven Ford,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
45,Claudia,Farrah Forke,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
46,Bosko's Date,Patricia Healy,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
47,Sergeant Heinz,Paul Herman,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
48,Rachel,Cindy Katz,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
49,Captain Jackson,Brian Libby,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
50,Harry Dieter,Dan Martin,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
51,Bank Guard,Mario Roberts,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
52,Armoured Truck Driver,"Thomas Rosales, Jr.",0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
53,Hostage Girl,Yvonne Zima,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
54,1st SIS Detective in the hallway (uncredited),Mick Gould,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
55,"Solenko, Restaurant Manager (uncredited)",Bud Cort,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
56,Castilian Woman (uncredited),Viviane Vives,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
57,Lillian,Kim Staunton,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
58,Construction Clerk,Martin Ferrero,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
59,Children's Hospital Doctor,Brad Baldridge,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
60,Dominick,Andrew Camuccio,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
61,Bartender,Kenny Endoso,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
62,Casals' Date,Kimberly Flynn,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
63,Marcia Drucker,Niki Harris,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
64,Armoured Guard,Bill McIntosh,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
65,Basketball Player,Rick Marzan,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
66,Children's Hospital Nurse,Terry Miller,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
67,Detective,Daniel O'Haco,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
68,Prostitute,Kai Soremekun,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
69,Bar Couple (uncredited),Peter Blackwell,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
70,Restaurant Patron (uncredited),Trevor Coppola,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
71,Police Woman (uncredited),Mary Kircher,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
72,Grocery Store Employee (uncredited),Darin Mangan,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
73,Cusamano (uncredited),Robert Miranda,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
74,Grocery Store Cop (uncredited),Manny Perry,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
75,Waitress (uncredited),Iva Franks Singer,1.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
76,Bank Guard (uncredited),Tim Werner,0.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
77,Ellis (uncredited),Philip Ettington,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
78,Andrew Shepherd,Michael Douglas,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
79,Sydney Ellen Wade,Annette Bening,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
80,Lewis Rothschild,Michael J. Fox,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
81,A.J. MacInerney,Martin Sheen,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
82,Robin McCall,Anna Deavere Smith,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
83,Lucy Shepherd,Shawna Waldron,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
84,Janie Basdin,Samantha Mathis,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
85,Leon Kodak,David Paymer,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
86,Senator Bob Rumson,Richard Dreyfuss,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
87,Beth Wade,Nina Siemaszko,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
88,Susan Sloan,Wendie Malick,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
89,Agent Cooper,Beau Billingslea,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
90,Esther MacInerney,Gail Strickland,1.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
91,David,Joshua Malina,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
92,President René Jean D'Astier,Clement von Franckenstein,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
93,Leo Solomon,John Mahoney,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
94,Chairman of the Joint Chiefs,John Mahon,2.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
95,Jeff,Gabriel Jarret,0.0,The American President,Comedy,Drama,Romance,1995-11-17,62000000.0,6.5,en
96,Sam 'Ace' Rothstein,Robert De Niro,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
97,Ginger McKenna,Sharon Stone,1.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
98,Nicky Santoro,Joe Pesci,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
99,Lester Diamond,James Woods,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
100,Billy Sherbert,Don Rickles,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
101,Andy Stone,Alan King,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
102,Phillip Green,Kevin Pollak,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
103,Remo Gaggi,Pasquale Cajano,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
104,Pat Webb,L.Q. Jones,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
105,Sénateur,Dick Smothers,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
106,Frank Marino,Frank Vincent,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
107,Oscar Goodman,Oscar Goodman,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
108,Charlie Clark,Richard Riehle,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
109,Mme Piscano,Catherine Scorsese,1.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
110,Artie Piscano,Vinny Vella,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
111,Ichikawa,Nobu Matsuhisa,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
112,Amy,Erika von Tagen,1.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
113,Black Jack-Groupier,Nick Mazzola,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
114,David,David Rose,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
115,Don Ward,John Bloom,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
116,Vincent Borelli,Joseph Rigano,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
117,Dominick Santoro,Philip Suriano,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
118,Jennifer Santoro,Melissa Prophet,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
119,John Nance,Bill Allison,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
120,Signaller,Joe La Due,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
121,Winner,Joseph P. Reidy,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
122,Cowboy,Craig Vincent,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
123,Tony Dogs,Carl Ciarfalio,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
124,Vinny Forlano,Gene Ruffini,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
125,Americo Capelli,Dominick Grieco,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
126,Sal Fusco,Clem Caserta,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
127,Doctor Dan,Daniel P. Conte,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
128,Stabbed Gambler,Joey DePinto,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
129,Baker,Jack Orend,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
130,Gambler in Phone Booth,Paul Herman,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
131,Jack Hardy,Jed Mills,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
132,Trudy,Claudia Haro,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
133,Anna Scott,Ffolliott Le Coque,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
134,Wiseguy Eddie,John Manca,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
135,Wiseguy Jerry,Ronald Maccone,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
136,Moosh,Joseph Bono,0.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
137,Rocky,Frank Adonis,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
138,Bookie,Anthony Russell,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
139,LA Banker,Stuart Nisbet,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
140,Chastised Gambler,Alfred Nittoli,2.0,Casino,Drama,Crime,,1995-11-22,52000000.0,7.8,en
141,Marianne Dashwood,Kate Winslet,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
142,Elinor Dashwood,Emma Thompson,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
143,Edward Ferrars,Hugh Grant,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
144,Mr. Dashwood,Tom Wilkinson,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
145,Col. Christopher Brandon,Alan Rickman,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
146,Lucy Steele,Imogen Stubbs,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
147,John Willoughby,Greg Wise,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
148,Mr. Palmer,Hugh Laurie,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
149,Charlotte Jennings Palmer,Imelda Staunton,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
150,Sir John Middleton,Robert Hardy,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
151,Doctor Harris,Oliver Ford Davies,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
152,John Dashwood,James Fleet,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
153,Fanny Ferrars Dashwood,Harriet Walter,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
154,Mrs. Dashwood,Gemma Jones,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
155,Margaret Dashwood,Emilie François,0.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
156,Mrs. Jennings,Elizabeth Spriggs,1.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
157,Robert Ferrars,Richard Lumsden,2.0,Sense and Sensibility,Drama,Romance,,1995-12-13,16500000.0,7.2,en
158,Ted the Bellhop,Tim Roth,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
159,Man,Antonio Banderas,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
160,Angela,Jennifer Beals,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
161,Elspeth,Madonna,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
162,Margaret,Marisa Tomei,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
163,Leo,Bruce Willis,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
164,Chester Rush,Quentin Tarantino,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
165,Jezebel,Sammi Davis,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
166,Diana,Amanda de Cadenet,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
167,Athena,Valeria Golino,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
168,Raven,Lili Taylor,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
169,Long Hair Yuppy Scum,Lawrence Bender,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
170,Eva,Ione Skye,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
171,Kiva,Alicia Witt,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
172,Siegfried,David Proval,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
173,Sarah,Lana McKissack,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
174,Wife,Tamlyn Tomita,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
175,Betty,Kathy Griffin,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
176,Norman,Paul Calderon,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
177,TV Dancing Girl,Salma Hayek,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
178,Corpse,Patricia Vonne,1.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
179,Juancho,Danny Verduzco,0.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
180,Hooker,Kimberly Blair,0.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
181,Sam the Bellhop,Marc Lawrence,2.0,Four Rooms,Crime,Comedy,,1995-12-09,4000000.0,6.5,en
182,Helen Hudson,Sigourney Weaver,1.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
183,M.J. Monahan,Holly Hunter,1.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
184,Nico Letti,Will Patton,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
185,Peter Foley,William McNamara,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
186,Doryll Lee Cullum,Harry Connick Jr.,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
187,Lt. Quinn,J.E. Freeman,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
188,Ruben Goetz,Dermot Mulroney,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
189,Andy,John Rothman,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
190,Susan Schiffer,Shannon O'Hurley,1.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
191,Pachulski,Bob Greene,2.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
192,Kerby,Tony Haney,0.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
193,Kostas,Danny Kovacs,0.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
194,Landis,Tahmus Rounds,0.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
195,Cop #1,Scott Devenney,0.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
196,Mike,David Michael Silverman,0.0,Copycat,Drama,Thriller,,1995-10-27,0.0,6.5,en
197,Robert Rath,Sylvester Stallone,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
198,Miguel Bain,Antonio Banderas,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
199,Electra,Julianne Moore,1.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
200,Nicolai Tashlinkov,Anatoli Davydov,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
201,Ketcham,Muse Watson,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
202,Alan Branch,Steve Kahan,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
203,"Jennifer, Electra's Neighbor",Kelly Rowan,1.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
204,Bob,Reed Diamond,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
205,Remy,Kai Wulff,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
206,Buyer with Remy,Kerry Skalsky,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
207,Buyer with Remy,James Douglas Haskins,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
208,Cop,Stephen Liska,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
209,Cop,John Harms,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
210,Cemetery Caretaker,Edward J. Rosen,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
211,Dowager,Christina Orchid,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
212,Cementary woman,Choco Orta,0.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
213,Kid in plaza,Germán Legarreta,2.0,Assassins,Action,Adventure,Crime,1995-10-06,50000000.0,6.0,en
214,Ben Sanderson,Nicolas Cage,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
215,Sera,Elisabeth Shue,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
216,Yuri,Julian Sands,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
217,Peter,Richard Lewis,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
218,Marc Nussbaum,Steven Weber,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
219,Sheila,Kim Adams,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
220,Debbie,Emily Procter,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
221,Man At Bar,Stuart Reynolds ,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
222,Terri,Valeria Golino,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
223,L.A. Bartender,Graham Beckel,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
224,Hooker at bar,Mariska Hargitay,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
225,Landlady,Laurie Metcalf,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
226,Biker Girl,Shawnee Smith,1.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
227,Hotel Manager,David Kriegel,2.0,Leaving Las Vegas,Drama,Romance,,1995-10-27,3600000.0,7.1,en
228,Detective David Mills,Brad Pitt,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
229,Detective Lt. William Somerset,Morgan Freeman,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
230,Tracy Mills,Gwyneth Paltrow,1.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
231,California,John C. McGinley,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
232,John Doe,Kevin Spacey,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
233,Police Captain,R. Lee Ermey,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
234,Dist. Atty. Martin Talbot,Richard Roundtree,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
235,Mark Swarr,Richard Schiff,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
236,Mrs. Gould,Julie Araskog,0.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
237,Greasy F.B.I. Man,Mark Boone Junior,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
238,Officer Davis,John Cassini,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
239,Dr. Santiago,Reg E. Cathey,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
240,Dr. O'Neill,Peter Crombie,0.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
241,"George, Library Night Guard",Hawthorne James,2.0,Se7en,Crime,Mystery,Thriller,1995-09-22,33000000.0,8.1,en
